season,pno,name,team,color,pos,war,owar,dwar,wrcplus,pa,hr,ops,sb,rbi,hit,run,iso,bbpct,kpct,sbrate,arch
1982,1002,권두조,롯,#888888,DH,0.6,0.31,0.29,77.6,325,0,0.616,7,35,59,40,0.064,11.1,8.3,2.2,👁 출루형
1982,15155,김용윤,M,#1552f8,1B,0.59,1.25,-0.66,140.6,132,4,0.842,3,26,32,21,0.146,14.4,11.4,2.3,👁 출루형
1982,1020,양세종,O,#15326f,3B,0.57,0.85,-0.28,94.1,336,7,0.718,12,37,81,38,0.12,8.0,5.1,3.6,🎯 정교한 타자
1982,1044,손상득,삼,#0061aa,C,0.57,0.02,0.54,59.8,155,2,0.605,8,16,34,21,0.091,4.5,13.5,5.2,🧤 수비형·백업
1982,1050,정혁진,O,#15326f,RF,0.55,0.79,-0.23,104.7,155,3,0.751,3,23,44,17,0.123,3.2,9.7,1.9,🧤 수비형·백업
1982,1052,천보성,삼,#0061aa,2B,0.54,0.52,0.03,97.2,104,0,0.676,2,10,24,13,0.066,9.6,8.7,1.9,👁 출루형
1982,1065,김종윤,해,#ff0c00,RF,0.54,0.59,-0.06,86.5,194,1,0.661,11,15,41,19,0.089,9.8,19.1,5.7,🏃 호타준족
1982,1035,김광수,O,#15326f,SS,0.53,0.46,0.07,93.8,125,1,0.679,6,14,28,10,0.048,8.8,6.4,4.8,🏃 호타준족
1982,1053,함학수,삼,#0061aa,1B,0.47,1.43,-0.96,99.8,289,7,0.731,8,51,68,46,0.149,7.6,11.8,2.8,🎯 정교한 타자
1982,1063,김재상,롯,#888888,CF,0.47,0.25,0.22,91.7,58,0,0.678,8,3,14,7,0.058,8.6,15.5,13.8,🏃 호타준족
1982,1089,이철성,삼미,#88b7e1,RF,0.44,0.37,0.07,89.6,166,0,0.655,3,10,38,17,0.062,9.0,5.4,1.8,👁 출루형
1982,1041,박찬,삼,#0061aa,LF,0.39,0.59,-0.2,113.2,85,1,0.73,2,8,22,12,0.091,9.4,17.6,2.4,👁 출루형
