name,team,war,era,fip,ip,g,gf,sv,hd,k9,bb9,kbb
박신지,OB,-0.06,6.41,5.28,26.2,17,3,0,0,6.9,4.5,5.9
백정현,SS,-0.06,6.75,6.8,21.1,25,3,0,3,6.4,3.4,7.8
정해영,HT,-0.06,5.91,5.07,35.0,38,5,2,8,6.9,3.3,8.7
장지훈,SK,-0.07,8.31,6.07,17.1,12,3,0,0,4.7,3.2,3.8
김건국,HT,-0.09,7.94,6.29,5.2,6,6,0,0,10.4,8.7,3.4
한차현,KT,-0.09,8.31,7.02,8.2,3,1,0,0,9.9,4.4,10.9
노경은,SK,-0.1,4.78,6.2,43.1,47,5,0,9,7.1,3.8,8.4
쿄야마,LT,-0.1,7.59,4.78,10.2,10,3,0,1,11.5,7.9,7.4
김도현,SK,-0.1,7.71,8.5,7.0,6,2,0,0,6.4,12.9,-13.5
최지민,HT,-0.11,6.03,5.01,34.1,39,4,0,2,7.4,2.9,10.5
박시후,SK,-0.12,5.17,5.3,38.1,34,6,0,1,7.3,4.3,7.6
한승혁,KT,-0.12,6.68,4.8,32.1,35,3,0,10,10.4,6.2,9.6
우강훈,LG,-0.12,4.71,4.08,42.0,50,2,0,17,8.6,3.6,12.2
윤석원,WO,-0.13,9.0,4.84,7.0,7,2,0,0,6.4,2.6,9.7
백승현,LG,-0.14,11.12,7.83,5.2,7,1,0,0,10.4,6.9,7.7
양재훈,OB,-0.14,5.92,4.66,24.1,26,5,0,2,11.6,5.2,14.7
정철원,LT,-0.15,6.75,5.13,28.0,34,6,0,3,6.8,4.5,5.5
박준우,LT,-0.15,5.06,5.54,16.0,13,8,0,0,5.6,3.4,5.3
강건우,HH,-0.16,8.1,6.86,13.1,10,2,0,0,7.6,8.2,-1.3
김종수,HH,-0.16,6.66,7.45,24.1,31,5,0,4,8.2,7.1,2.5
김민수,KT,-0.17,5.75,4.29,36.0,33,6,1,2,8.2,3.5,11.7
임정호,NC,-0.19,7.59,4.12,10.2,18,2,0,1,10.6,5.3,11.5
박정수,OB,-0.19,5.14,6.47,7.0,7,6,0,0,3.9,6.4,-6.5
최용준,SK,-0.19,5.73,6.98,11.0,10,5,0,0,6.5,6.5,0.0
김준원,NC,-0.21,5.93,5.92,13.2,11,6,0,0,11.6,7.5,8.7
성동현,LG,-0.21,11.12,8.83,5.2,5,4,0,0,8.7,6.9,3.0
전영준,SK,-0.23,6.45,5.98,37.2,41,6,1,1,10.4,5.3,12.4
이형범,HH,-0.24,4.21,5.59,25.2,22,9,0,0,5.7,5.0,1.6
최이준,LT,-0.26,8.31,6.82,13.0,15,0,0,0,6.2,7.6,-3.3
이정용,LG,-0.27,7.14,5.43,46.2,20,4,0,1,4.3,3.9,0.9
이상영,LG,-0.27,12.27,7.57,7.1,3,1,0,0,2.5,6.3,-7.3
송명기,NC,-0.28,7.36,7.8,11.0,11,1,0,0,10.6,8.2,4.8
타무라,OB,-0.3,7.31,5.26,16.0,17,5,0,2,7.9,2.8,11.1
홍민규,HT,-0.31,7.59,4.52,21.1,17,7,0,0,7.7,4.3,7.8
정현우,WO,-0.32,7.43,7.11,13.1,10,0,0,0,5.5,4.8,1.6
손주환,NC,-0.32,7.23,4.48,18.2,22,3,0,0,11.9,6.4,12.2
최지강,OB,-0.33,9.45,3.98,13.1,16,6,0,0,8.9,4.8,8.6
김윤하,WO,-0.34,7.59,7.28,21.1,8,3,0,0,7.3,3.8,7.9
정우주,HH,-0.34,6.37,5.18,35.1,36,3,0,5,10.3,6.9,7.4
이기순,SK,-0.36,8.38,7.24,9.2,9,5,0,0,7.8,12.7,-8.6
원종혁,HH,-0.37,9.45,9.0,6.2,10,4,0,0,4.4,11.6,-11.4
이준우,WO,-0.38,10.13,5.43,8.0,8,2,0,0,7.9,9.0,-2.4
이승현,SS,-0.4,8.44,5.74,21.1,11,6,0,0,8.5,6.4,4.7
